t (us),volts
45.0864,0.06615625
45.0872,0.0453125
45.088,0.03715625
45.0888,0.03896875
45.0896,0.058
45.0904,0.04259375
45.0912,0.04440625
45.092,0.06978125
45.0928,0.06434375
45.0936,0.0706875
45.0944,0.06615625
45.0952,0.09153125
45.096,0.07703125
45.0968,0.076125
45.0976,0.032625
45.0984,0.04078125
45.0992,0.05346875
45.1,0.06615625
45.1008,0.07703125
45.1016,0.05075
45.1024,0.06434375
45.1032,0.07703125
45.104,0.0706875
45.1048,0.05165625
45.1056,0.0525625
45.1064,0.02809375
45.1072,0.04259375
45.108,0.03171875
45.1088,0.05346875
45.1096,0.0380625
45.1104,0.05890625
45.1112,0.047125
45.112,0.0670625
45.1128,0.06071875
45.1136,0.07340625
45.1144,0.0743125
45.1152,0.0634375
45.116,0.068875
45.1168,0.0779375
45.1176,0.0779375
45.1184,0.06978125
45.1192,0.06071875
45.12,0.02265625
45.1208,0.0598125
45.1216,0.06253125
45.1224,0.08065625
45.1232,0.08790625
45.124,0.07159375
45.1248,0.083375
45.1256,0.07521875
45.1264,0.07340625
45.1272,0.058
45.128,0.058
45.1288,0.0561875
45.1296,0.06525
45.1304,0.06525
45.1312,0.08246875
45.132,0.061625
45.1328,0.0851875
45.1336,0.05075
45.1344,0.0344375
45.1352,0.0145
45.136,0.03715625
45.1368,0.05165625
45.1376,0.06615625
45.1384,0.09334375
45.1392,0.07884375
45.14,0.08428125
45.1408,0.0634375
45.1416,0.08428125
45.1424,0.0525625
45.1432,0.05165625
45.144,0.07521875
45.1448,0.04984375
45.1456,0.0271875
45.1464,0.05165625
45.1472,0.02809375
45.148,0.04621875
45.1488,0.05528125
45.1496,0.05890625
45.1504,0.068875
45.1512,0.05075
45.152,0.0598125
45.1528,0.07340625
45.1536,0.06253125
45.1544,0.0634375
45.1552,0.09334375
45.156,0.06796875
45.1568,0.0489375
45.1576,0.0380625
45.1584,0.0525625
45.1592,0.0634375
45.16,0.0416875
45.1608,0.05890625
45.1616,0.04621875
45.1624,0.06525
45.1632,0.03896875
45.164,0.06071875
45.1648,0.07159375
45.1656,0.0706875
45.1664,0.097875
45.1672,0.09696875
45.168,0.07340625
45.1688,0.06796875
45.1696,0.05165625
45.1704,0.05165625
45.1712,0.0670625
45.172,0.0634375
45.1728,0.06978125
45.1736,0.090625
45.1744,0.05890625
45.1752,0.04259375
45.176,0.04078125
45.1768,0.0380625
45.1776,0.02990625
45.1784,0.0416875
45.1792,0.0435
45.18,0.04078125
45.1808,0.06071875
45.1816,0.04078125
45.1824,0.0525625
45.1832,0.04803125
45.184,0.06253125
45.1848,0.0634375
45.1856,0.08609375
45.1864,0.1187188
45.1872,0.076125
45.188,0.068875
45.1888,0.076125
45.1896,0.06525
45.1904,0.09878125
45.1912,0.07159375
45.192,0.076125
45.1928,0.06434375
45.1936,0.09515625
45.1944,0.068875
45.1952,0.07975
45.196,0.0706875
45.1968,0.05346875
45.1976,0.06071875
45.1984,0.05528125
45.1992,0.0489375
45.2,0.05709375
45.2008,0.058
45.2016,0.0271875
45.2024,0.06796875
45.2032,0.04440625
45.204,0.06978125
45.2048,0.0380625
45.2056,0.05528125
45.2064,0.0815625
45.2072,0.0743125
45.208,0.07521875
45.2088,0.08609375
45.2096,0.0888125
45.2104,0.08246875
45.2112,0.0670625
45.212,0.061625
45.2128,0.08428125
45.2136,0.1015
45.2144,0.05890625
45.2152,0.04621875
45.216,0.08065625
45.2168,0.0670625
45.2176,0.05346875
45.2184,0.04440625
45.2192,0.0743125
45.22,0.04803125
45.2208,0.06071875
45.2216,0.03171875
45.2224,0.0670625
45.2232,0.07884375
45.224,0.0888125
45.2248,0.0561875
45.2256,0.0435
45.2264,0.04440625
45.2272,0.02809375
45.228,0.06434375
45.2288,0.06978125
45.2296,0.0851875
45.2304,0.0888125
45.2312,0.09425
45.232,0.09334375
45.2328,0.07975
45.2336,0.08971875
45.2344,0.068875
45.2352,0.06071875
45.236,0.07884375
45.2368,0.0525625
45.2376,0.05075
45.2384,0.0743125
45.2392,0.05709375
45.24,0.04984375
45.2408,0.0743125
45.2416,0.04621875
45.2424,0.04984375
45.2432,0.05165625
45.244,0.04078125
45.2448,0.0634375
45.2456,0.06978125
45.2464,0.06978125
45.2472,0.09878125
45.248,0.1005938
45.2488,0.1069375
45.2496,0.1241563
45.2504,0.097875
45.2512,0.0779375
45.252,0.07159375
45.2528,0.0525625
45.2536,0.06615625
45.2544,0.0525625
45.2552,0.0561875
45.256,0.07521875
45.2568,0.07340625
45.2576,0.0725
45.2584,0.06253125
